Zeit,Messwerte
2024-01-01 06:00:00,476.651
2024-01-01 07:00:00,629.357
2024-01-01 08:00:00,488.533
2024-01-01 09:00:00,302.404
2024-01-01 10:00:00,489.559
2024-01-01 11:00:00,305.874
2024-01-01 12:00:00,359.914
2024-01-01 13:00:00,258.667
2024-01-01 14:00:00,343.941
2024-01-01 15:00:00,437.143
2024-01-01 16:00:00,415.211
2024-01-01 17:00:00,416.732
2024-01-01 18:00:00,404.297
2024-01-01 19:00:00,494.261
2024-01-01 20:00:00,305.505
2024-01-01 21:00:00,475.545
2024-01-01 22:00:00,274.825
2024-01-01 23:00:00,375.173
2024-01-02 00:00:00,536.477
2024-01-02 01:00:00,361.758
2024-01-02 02:00:00,520.066
2024-01-02 03:00:00,261.606
2024-01-02 04:00:00,491.657
2024-01-02 05:00:00,644.685
2024-01-02 06:00:00,444.969
2024-01-02 07:00:00,488.844
2024-01-02 08:00:00,302.301
2024-01-02 09:00:00,500.773
2024-01-02 10:00:00,258.817
2024-01-02 11:00:00,286.823
2024-01-02 12:00:00,330.94
2024-01-02 13:00:00,345.266
2024-01-02 14:00:00,359.557
2024-01-02 15:00:00,288.033
2024-01-02 16:00:00,403.744
2024-01-02 17:00:00,315.428
2024-01-02 18:00:00,312.812
2024-01-02 19:00:00,388.427
2024-01-02 20:00:00,187.489
2024-01-02 21:00:00,173.106
2024-01-02 22:00:00,317.399
2024-01-02 23:00:00,231.41
2024-01-03 00:00:00,362.046
2024-01-03 01:00:00,260.211
2024-01-03 02:00:00,243.696
2024-01-03 03:00:00,428.246
2024-01-03 04:00:00,403.94
2024-01-03 05:00:00,416.802
2024-01-03 06:00:00,444.853
2024-01-03 07:00:00,403.456
2024-01-03 08:00:00,360.341
2024-01-03 09:00:00,272.716
2024-01-03 10:00:00,331.713
2024-01-03 11:00:00,271.863
2024-01-03 12:00:00,227.273
2024-01-03 13:00:00,345.174
2024-01-03 14:00:00,200.858
2024-01-03 15:00:00,358.75
2024-01-03 16:00:00,287.226
2024-01-03 17:00:00,330.018
2024-01-03 18:00:00,229.901
2024-01-03 19:00:00,372.442
2024-01-03 20:00:00,245.045
2024-01-03 21:00:00,215.783
2024-01-03 22:00:00,227.596
2024-01-03 23:00:00,316.453
2024-01-04 00:00:00,434.539
2024-01-04 01:00:00,304.686
2024-01-04 02:00:00,275.182
2024-01-04 03:00:00,289.059
2024-01-04 04:00:00,519.535
2024-01-04 05:00:00,482.828
2024-01-04 06:00:00,514.776
2024-01-04 07:00:00,405.138
2024-01-04 08:00:00,391.504
2024-01-04 09:00:00,318.805
2024-01-04 10:00:00,333.061
2024-01-04 11:00:00,272.197
2024-01-04 12:00:00,287.871
2024-01-04 13:00:00,201.734
2024-01-04 14:00:00,259.693
2024-01-04 15:00:00,375.842
2024-01-04 16:00:00,303.361
2024-01-04 17:00:00,332.312
2024-01-04 18:00:00,486.447
2024-01-04 19:00:00,315.693
2024-01-04 20:00:00,289.001
2024-01-04 21:00:00,318.943
2024-01-04 22:00:00,362.888
2024-01-04 23:00:00,595.796
2024-01-05 00:00:00,446.801
2024-01-05 01:00:00,358.52
2024-01-05 02:00:00,318.286
2024-01-05 03:00:00,520.803
2024-01-05 04:00:00,477.354
2024-01-05 05:00:00,671.02
2024-01-05 06:00:00,456.54
2024-01-05 07:00:00,650.079
2024-01-05 08:00:00,447.919
2024-01-05 09:00:00,346.73
2024-01-05 10:00:00,429.468
2024-01-05 11:00:00,284.495
2024-01-05 12:00:00,431.611
2024-01-05 13:00:00,259.382
2024-01-05 14:00:00,359.084
2024-01-05 15:00:00,503.689
2024-01-05 16:00:00,389.487
2024-01-05 17:00:00,398.972
2024-01-05 18:00:00,257.814
2024-01-05 19:00:00,403.11
2024-01-05 20:00:00,215.829
2024-01-05 21:00:00,274.353
2024-01-05 22:00:00,275.079
2024-01-05 23:00:00,331.332
2024-01-06 00:00:00,418.081
2024-01-06 01:00:00,333.418
2024-01-06 02:00:00,288.736
2024-01-06 03:00:00,463.466
2024-01-06 04:00:00,451.008
2024-01-06 05:00:00,542.055
2024-01-06 06:00:00,358.451
2024-01-06 07:00:00,345.923
2024-01-06 08:00:00,360.364
2024-01-06 09:00:00,531.395
2024-01-06 10:00:00,313.987
2024-01-06 11:00:00,256.523
2024-01-06 12:00:00,360.029
2024-01-06 13:00:00,319.047
2024-01-06 14:00:00,319.035
2024-01-06 15:00:00,302.531
2024-01-06 16:00:00,212.509
2024-01-06 17:00:00,484.949
2024-01-06 18:00:00,405.104
2024-01-06 19:00:00,332.669
2024-01-06 20:00:00,332.865
2024-01-06 21:00:00,360.237
2024-01-06 22:00:00,342.661
2024-01-06 23:00:00,376.141
2024-01-07 00:00:00,377.029
2024-01-07 01:00:00,348.216
2024-01-07 02:00:00,493.604
2024-01-07 03:00:00,406.775
2024-01-07 04:00:00,370.736
2024-01-07 05:00:00,374.09
2024-01-07 06:00:00,289.658
2024-01-07 07:00:00,494.353
2024-01-07 08:00:00,461.634
2024-01-07 09:00:00,314.114
2024-01-07 10:00:00,285.532
2024-01-07 11:00:00,332.024
2024-01-07 12:00:00,463.432
2024-01-07 13:00:00,347.456
2024-01-07 14:00:00,490.7
2024-01-07 15:00:00,315.128
2024-01-07 16:00:00,619.1
2024-01-07 17:00:00,406.982
2024-01-07 18:00:00,534.898
